filename,width,height,class,xmin,ymin,xmax,ymax
1390.jpeg,278,181,Broken-glass,130,92,168,124
1390.jpeg,278,181,Smashed,120,91,256,159
1384.jpeg,259,194,Smashed,17,68,165,138
1435.jpeg,263,191,Smashed,68,67,191,146
1435.jpeg,263,191,Broken-glass,160,111,184,127
1353.jpeg,259,194,Dent,128,63,195,145
1347.jpeg,259,194,Smashed,1,1,218,192
1421.jpeg,259,194,Dent,51,55,86,104
1409.jpeg,290,174,Scratch,63,88,90,97
1409.jpeg,290,174,Scratch,108,100,132,107
1192.jpeg,259,194,Scratch,60,13,248,138
1192.jpeg,259,194,Dent,190,21,214,45
1838.jpeg,303,166,Broken-glass,53,48,264,122
1186.jpeg,275,183,Dent,120,46,170,112
1810.jpeg,225,225,Dent,19,80,49,159
1810.jpeg,225,225,Broken-glass,28,109,50,140
1804.jpeg,1024,1024,Dent,116,504,391,819
1804.jpeg,1024,1024,Broken-glass,260,342,398,519
1151.jpeg,300,168,Scratch,163,55,195,99
1637.jpeg,276,183,Smashed,4,97,272,158
1623.jpeg,299,168,Dent,157,64,220,86
1623.jpeg,299,168,Scratch,84,83,95,92
1145.jpeg,300,168,Dent,136,83,213,109
1179.jpeg,273,184,Smashed,78,58,220,183
1780.jpeg,259,194,Dent,196,110,240,132
1794.jpeg,299,168,Dent,155,84,178,109
1025.jpeg,259,194,Smashed,1,45,213,132
1743.jpeg,275,183,Dent,29,36,210,91
1743.jpeg,275,183,Scratch,47,79,167,157
1757.jpeg,277,182,Broken-glass,89,46,258,115
1031.jpeg,259,194,Dent,30,66,63,121
1031.jpeg,259,194,Smashed,8,49,25,105
1031.jpeg,259,194,Dent,177,124,228,178
1019.jpeg,259,195,Broken-glass,121,90,167,118
1019.jpeg,259,195,Dent,170,83,190,108
1019.jpeg,259,195,Smashed,51,46,174,110
1582.jpeg,259,194,Broken-glass,210,81,227,119
1582.jpeg,259,194,Dent,163,54,235,185
1582.jpeg,259,194,Dent,60,115,98,133
1596.jpeg,259,194,Dent,68,90,97,133
1596.jpeg,259,194,Scratch,101,126,218,155
1541.jpeg,300,168,Broken-glass,23,16,263,84
1227.jpeg,275,183,Dent,140,43,171,154
1227.jpeg,275,183,Dent,179,76,226,114
1227.jpeg,275,183,Dent,35,90,82,132
